neg,neu,pos,compound,subjectivity
0.05562857142857143,0.7911142857142858,0.15325714285714284,0.3751342857142857,0.0665874790197683
0.12653846153846152,0.7149038461538463,0.15857692307692306,0.14094615384615386,0.17652818742104456
0.0745625,0.77,0.1555625,0.33044375000000004,0.0713090468559219
0.06777777777777777,0.7234444444444443,0.20877777777777778,0.4671777777777779,-0.1772067901234568
0.07149342105263158,0.6799473684210526,0.24853289473684212,0.3764138157894737,0.05742666966202368
0.0729764705882353,0.7393176470588234,0.18765882352941174,0.3308082352941176,0.004841142517613119
0.09128571428571429,0.7703428571428571,0.1384,0.22814857142857145,-0.015426486520534168
0.04757142857142858,0.7724444444444445,0.17998412698412694,0.43403968253968256,0.12536321482645923
0.03912195121951219,0.7252439024390245,0.23565853658536587,0.5824414634146341,0.04918563162915528
0.05591666666666667,0.8398333333333334,0.10458333333333332,0.28815833333333335,-0.0471952121952122
