Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5
racket,ask,office,exam,week,techniques
coding,say,enjoyed,mark,quizzes,see
language,may,office hours,study,took,proof techniques
programming,term,half,final,choice,number
experience,recommend,hours,midterm,econ,proofs
cs,required,help,want,content,math
based,solve,start,able,sense,theory
design,overall,early,even,multiple choice,high
may,based,day,much,textbook,mathematics
writing,many,tough,practice,modules,number theory
